,pesticide,food,mrl
0,zoxamide,Vegetables,-2.0
1,zoxamide,Tomato,2.0
2,zoxamide,Gourd Vegetables,2.0
3,zoxamide,Potato,0.02
4,zoxamide,Fruit,-2.0
5,zoxamide,Grape,5.0
6,zoxamide,Melons,2.0
7,zoxamide,Dried fruits,-2.0
8,zoxamide,Raisin,15.0
9,"2,4-DB",Mint,0.2
10,"2,4-DB",Spearmint,0.2
11,"2,4-DB",Pepper,0.2
