pesticide,food,mrl
zoxamide,Vegetables,-2.0
zoxamide,Tomato,2.0
zoxamide,Gourd Vegetables,2.0
zoxamide,Potato,0.02
zoxamide,Fruit,-2.0
zoxamide,Grape,5.0
zoxamide,Melons,2.0
zoxamide,Dried fruits,-2.0
zoxamide,Raisin,15.0
